Club,Kicks TOT,Kicks AVG,Handballs TOT,Handballs AVG,Disposals TOT,Disposals AVG,Cont Poss TOT,Cont Poss AVG,Uncont Poss TOT,Uncont Poss AVG,Disp eff %,Clangers TOT,Clangers AVG,Marks TOT,Marks AVG,Cont marks TOT,Cont marks AVG,Marks50 TOT,Marks50 AVG,Hit-outs TOT,Hit-outs AVG,Clearances TOT,Clearances AVG,Centre clr TOT,Centre clr AVG,Stoppages TOT,Stoppages AVG,Rebound50 TOT,Rebound50 AVG,Frees For TOT,Frees For AVG,Frees Agst TOT,Frees Agst AVG,Tackles TOT,Tackles AVG,One %s TOT,One %s AVG,Bounces TOT,Bounces AVG,Inside50 TOT,Inside50 AVG,Goals TOT,Goals AVG,Behinds TOT,Behinds AVG,Goal assists TOT,Goal assists AVG,Goal acc %,Interchanges TOT,Interchanges AVG,Year
Adelaide Crows,1052,131.5,458,57.3,1510,188.8,866,108.3,610,76.3,54.5,347,43.4,248,31,46,5.8,55,6.9,189,23.6,158,19.8,38,4.8,120,15,143,17.9,152,19,122,15.3,445,55.6,163,20.4,13,1.6,263,32.9,45,5.6,38,4.8,19,2.4,36,0,0,2017
Brisbane Lions,977,122.1,416,52,1393,174.1,745,93.1,637,79.6,56.1,319,39.9,301,37.6,57,7.1,47,5.9,173,21.6,135,16.9,30,3.8,105,13.1,180,22.5,135,16.9,129,16.1,435,54.4,166,20.8,36,4.5,194,24.3,35,4.4,26,3.3,19,2.4,40.2,57,57,2017
Carlton,780,111.4,424,60.6,1204,172,673,96.1,541,77.3,59.6,271,38.7,229,32.7,52,7.4,45,6.4,195,27.9,141,20.1,31,4.4,110,15.7,154,22,83,11.9,99,14.1,346,49.4,138,19.7,15,2.1,164,23.4,39,5.6,19,2.7,23,3.3,50.6,8,8,2017
Collingwood,838,119.7,335,47.9,1173,167.6,632,90.3,550,78.6,56.6,278,39.7,278,39.7,44,6.3,42,6,256,36.6,152,21.7,34,4.9,118,16.9,131,18.7,109,15.6,95,13.6,396,56.6,151,21.6,26,3.7,164,23.4,32,4.6,29,4.1,18,2.6,45.7,30,30,2017
Fremantle,818,116.9,409,58.4,1227,175.3,650,92.9,564,80.6,54.1,301,43,232,33.1,33,4.7,36,5.1,116,16.6,154,22,42,6,112,16,115,16.4,85,12.1,114,16.3,418,59.7,123,17.6,29,4.1,183,26.1,25,3.6,34,4.9,15,2.1,34.2,33,33,2017
GWS Giants,758,108.3,351,50.1,1109,158.4,598,85.4,480,68.6,54.4,245,35,203,29,21,3,31,4.4,200,28.6,155,22.1,40,5.7,115,16.4,157,22.4,104,14.9,95,13.6,390,55.7,128,18.3,13,1.9,126,18,23,3.3,15,2.1,15,2.1,43.4,54,54,2017
Melbourne,911,130.1,575,82.1,1486,212.3,728,104,758,108.3,60.8,291,41.6,266,38,38,5.4,46,6.6,166,23.7,156,22.3,35,5,121,17.3,135,19.3,101,14.4,111,15.9,386,55.1,164,23.4,18,2.6,196,28,37,5.3,31,4.4,20,2.9,37.4,37,37,2017
Western Bulldogs,706,100.9,510,72.9,1216,173.7,629,89.9,597,85.3,58.5,256,36.6,168,24,24,3.4,31,4.4,167,23.9,167,23.9,38,5.4,129,18.4,133,19,107,15.3,111,15.9,386,55.1,166,23.7,32,4.6,173,24.7,31,4.4,42,6,17,2.4,34.4,30,30,2017
Adelaide Crows,906,129.4,312,44.6,1218,174,684,97.7,495,70.7,54.2,303,43.3,208,29.7,31,4.4,24,3.4,166,23.7,140,20,42,6,98,14,180,25.7,84,12,103,14.7,413,59,199,28.4,9,1.3,179,25.6,33,4.7,32,32,14,2,42.3,0,0,2018
Brisbane Lions,1077,134.6,574,71.8,1651,206.4,824,103,789,98.6,58.1,298,37.3,351,43.9,53,6.6,59,7.4,206,25.8,155,19.4,48,6,107,13.4,150,18.8,113,14.1,103,12.9,484,60.5,177,22.1,25,3.1,221,27.6,38,4.8,41,41,18,2.3,38.8,0,0,2018
Carlton,757,108.1,360,51.4,1117,159.6,626,89.4,491,70.1,54.5,307,43.9,199,28.4,38,5.4,25,3.6,204,29.1,118,16.9,28,4,90,12.9,152,21.7,123,17.6,115,16.4,430,61.4,165,23.6,10,1.4,178,25.4,21,3,47,47,9,1.3,27.3,0,0,2018
Collingwood,959,137,422,60.3,1381,197.3,641,91.6,694,99.1,62.2,324,46.3,338,48.3,46,6.6,37,5.3,171,24.4,121,17.3,37,5.3,84,12,165,23.6,101,14.4,128,18.3,411,58.7,173,24.7,20,2.9,171,24.4,42,6,29,29,21,3,48.8,0,0,2018
Fremantle,850,121.4,422,60.3,1272,181.7,685,97.9,547,78.1,53.6,290,41.4,202,28.9,14,2,31,4.4,132,18.9,162,23.1,40,5.7,122,17.4,156,22.3,111,15.9,94,13.4,452,64.6,154,22,29,4.1,174,24.9,34,4.9,26,26,16,2.3,48.6,0,0,2018
GWS Giants,848,121.1,446,63.7,1294,184.9,708,101.1,537,76.7,57.6,288,41.1,212,30.3,50,7.1,33,4.7,205,29.3,136,19.4,30,4.3,106,15.1,140,20,100,14.3,117,16.7,440,62.9,182,26,4,0.6,193,27.6,32,4.6,32,32,14,2,41,0,0,2018
Melbourne,894,127.7,567,81,1461,208.7,776,110.9,687,98.1,58.9,296,42.3,281,40.1,64,9.1,58,8.3,170,24.3,137,19.6,40,5.7,97,13.9,122,17.4,116,16.6,102,14.6,426,60.9,162,23.1,22,3.1,223,31.9,38,5.4,50,50,21,3,37.3,0,0,2018
Western Bulldogs,1050,131.3,472,59,1522,190.3,745,93.1,760,95,60.6,259,32.4,339,42.4,37,4.6,57,7.1,178,22.3,178,22.3,36,4.5,142,17.8,163,20.4,118,14.8,104,13,466,58.3,184,23,27,3.4,228,28.5,49,6.1,45,45,25,3.1,42.2,0,0,2018
