Club,Year,Kicks,Handballs,Marks,Clearances,Frees_For,Frees_Agst,Tackles,Goals,Behinds,Disp_eff,Goal_acc
Adelaide Crows,2017,131.5,57.3,31,19.8,19,15.3,55.6,5.6,4.8,54.5,36
Brisbane Lions,2017,122.1,52,37.6,16.9,16.9,16.1,54.4,4.4,3.3,56.1,40.2
Carlton,2017,111.4,60.6,32.7,20.1,11.9,14.1,49.4,5.6,2.7,59.6,50.6
Collingwood,2017,119.7,47.9,39.7,21.7,15.6,13.6,56.6,4.6,4.1,56.6,45.7
Fremantle,2017,116.9,58.4,33.1,22,12.1,16.3,59.7,3.6,4.9,54.1,34.2
GWS Giants,2017,108.3,50.1,29,22.1,14.9,13.6,55.7,3.3,2.1,54.4,43.4
Melbourne,2017,130.1,82.1,38,22.3,14.4,15.9,55.1,5.3,4.4,60.8,37.4
Western Bulldogs,2017,100.9,72.9,24,23.9,15.3,15.9,55.1,4.4,6,58.5,34.4
Adelaide Crows,2018,129.4,44.6,29.7,20,12,14.7,59,4.7,32,54.2,42.3
Brisbane Lions,2018,134.6,71.8,43.9,19.4,14.1,12.9,60.5,4.8,41,58.1,38.8
Carlton,2018,108.1,51.4,28.4,16.9,17.6,16.4,61.4,3,47,54.5,27.3
Collingwood,2018,137,60.3,48.3,17.3,14.4,18.3,58.7,6,29,62.2,48.8
Fremantle,2018,121.4,60.3,28.9,23.1,15.9,13.4,64.6,4.9,26,53.6,48.6
GWS Giants,2018,121.1,63.7,30.3,19.4,14.3,16.7,62.9,4.6,32,57.6,41
Melbourne,2018,127.7,81,40.1,19.6,16.6,14.6,60.9,5.4,50,58.9,37.3
Western Bulldogs,2018,131.3,59,42.4,22.3,14.8,13,58.3,6.1,45,60.6,42.2
